Name,Date,Type,Primary Muscle,Sets,Reps,Weight (lbs),Notes
Dumbell Curls,3/20/2023,Pull,Biceps,3,10,20,
Overhead Dumbell Raises,3/20/2023,Push,Triceps,3,10,20,
Dumbell Shoulder Press,3/20/2023,Push,Shoulders,3,10,25,
Dumbell Bench Press,3/20/2023,Push,Chest,3,10,30,
Dumbell Rows,3/20/2023,Pull,Lats,3,10,30,
Dumbell Squats,3/20/2023,Legs,Quads,3,10,60,
Dumbell Deadlifts,3/20/2023,Legs,Hamstrings,3,10,30,
Dumbell Calf Raises,3/20/2023,Legs,Calfs,3,10,40,
Dumbell Twists,3/20/2023,Core,Abs,3,10,15,
Pull Ups,3/20/2023,Pull,Lats,4,6,Bodyweight,
Overhead Dumbell Raises,3/21/2023,Push,Triceps,4,8,40,
Lateral Rows,3/21/2023,Pull,Lats,4,10,80,Seated
Lat Pull Downs,3/21/2023,Pull,Lats,4,10,90,
Tricep Push Downs,3/21/2023,Push,Triceps,4,8,25,
Dumbell Curls,3/21/2023,Pull,Biceps,4,8,60,
Dumbell Lateral Raises,3/21/2023,Push,Shoulders,4,10,15,
Dumbell Rows,3/21/2023,Pull,Lats,2,10,45,
Bench Press,4/4/2023,Push,Chest,2,8,115,
Bench Press,4/4/2023,Push,Chest,2,6,115,
Incline Bench Press,4/4/2023,Push,Chest,4,8,75,
Tricep Push Downs,4/4/2023,Push,Triceps,4,8,27.5,
Dips,4/4/2023,Push,Chest,3,8,130,
Dips,4/4/2023,Push,Chest,1,8,110,
Shoulder Press,4/4/2023,Push,Shoulders,3,8,40,
Shoulder Press,4/4/2023,Push,Shoulders,1,8,30,
Flys,4/4/2023,Push,Front Delts,4,8,85,
Pull Ups,4/10/2023,Pull,Lats,4,6,bodyweight,
Dumbell Curls,4/10/2023,Pull,Biceps,4,6,25,
Dumbell Rows,4/10/2023,Pull,Lats,4,10,45,
Tricep Push Downs,4/10/2023,Push,Triceps,4,10,27.5,
Lat Pull Downs,4/10/2023,Pull,Lats,4,10,85,
Reverse Flys,4/10/2023,Pull,Delts,4,8,70,
Lateral Rows,4/10/2023,Pull,Lats,4,10,70,
Squats,4/21/2023,Legs,Quads,4,8,175,
Hip Thrusts,4/21/2023,Legs,Hamstrings,4,8,135,
Hip Abductions,4/21/2023,Legs,Hip Abductors,4,8,175,
Reverse Hip Abductions,4/21/2023,Legs,Hip Abductors,4,8,185,
Leg Press,4/21/2023,Legs,Quads,4,8,210,
Calf Raises,4/21/2023,Legs,Calfs,4,20,150,
Leg Extensions,4/21/2023,Legs,Quads,4,10,85,
Leg Curls,4/21/2023,Legs,Hamstrings,4,10,85,
Chest Press,4/24/2023,Push,Chest,4,10,100,
Shoulder press,4/24/2023,Push,Shoulders,4,8,50,
Tricep Push Downs,4/24/2023,Push,Triceps,4,8,27.5,
Lat Raises,4/24/2023,Push,Shoulders,4,8,55,
Tricep Pushes,4/24/2023,Push,Triceps,4,8,150,
Squats,5/11/2023,Legs,Quads,4,8,155,
Hip Thrusts,5/11/2023,Legs,Hamstrings,4,8,125,
Hip Abductions,5/11/2023,Legs,Hip Abductors,4,8,160,
Reverse Hip Abductions,5/11/2023,Legs,Hip Abductors,4,8,160,
Leg Press,5/11/2023,Legs,Quads,4,8,210,
Calf Raises,5/11/2023,Legs,Calfs,4,20,170,
Dumbell Bench Press,5/26/2023,Push,Chest,4,10,35,
Tricep Push Downs,5/26/2023,Push,Triceps,4,10,25,
Dumbell Curls,5/26/2023,Pull,Biceps,4,10,20,
Shoulder Press,5/26/2023,Push,Shoulders,4,10,25,
Cable Flys,5/26/2023,Push,Delts,4,10,15,
Tricep Kick backs,5/26/2023,#N/A,Triceps,4,10,20,
Dumbell Squats,5/27/2023,Legs,Quads,4,10,70,
Dumbell Twists,5/27/2023,Core,Abs,4,10,30,
Dumbell Lunges,5/27/2023,Legs,Hamstrings,4,10,60,
Cable Crunches,5/27/2023,Core,Abs,4,10,25,
Good Mornings,5/27/2023,Push,Lower Back,4,10,80,
Incline Bench press,6/1/2023,Push,Chest,4,6,115,
Decline Bench Press,6/1/2023,Push,Chest,4,10,135,
Tricep Push Downs,6/1/2023,Push,Triceps,4,8,40,
Shoulder Press,6/1/2023,Push,Shoulders,4,8,40,
Dips,6/1/2023,Push,Chest,4,10,90,
Flys,6/1/2023,Push,Delts,4,6,85,
Overhead Tricep Raises,6/1/2023,Push,Triceps,4,8,30,
Pull Ups,6/3/2023,Pull,Lats,4,8,115,
Preacher Curls,6/3/2023,Pull,Biceps,4,8,80,
Dumbell Rows,6/3/2023,Pull,Lats,4,8,45,
Incline Rows,6/3/2023,Pull,Lats,4,10,120,
Underhand Rows,6/3/2023,Pull,Lats,4,10,85,
Reverse Flys,6/3/2023,Pull,Delts,4,8,55,
Lateral Rows,6/3/2023,Pull,Lats,4,8,140,
Leg Raises,6/5/2023,Core,Abs,4,10,bodyweight,
Cable Twists,6/5/2023,Core,Abs,4,10,30,
Good Mornings,6/5/2023,Core,Lower Back,4,10,80,
Ab Crunches,6/5/2023,Core,Abs,4,10,7,nm
Back Pushes,6/5/2023,Core,Lower Back,4,10,9,nm
